fecha,temperatura_promedio
2023-01-01,22.563945582966426
2023-01-02,22.37819984177215
2023-01-03,22.498183606769402
2023-01-04,22.623011483902037
2023-01-05,22.798050427903135
2023-01-06,22.81678804141442
2023-01-07,22.72571182085856
2023-01-08,22.712642884837642
2023-01-09,22.95286482498624
2023-01-10,23.016178258530545
2023-01-11,23.318720091221792
2023-01-12,23.499014540313702
2023-01-13,23.59360754581728
2023-01-14,23.763524028893784
2023-01-15,23.774579220555864
2023-01-16,23.564268528756195
2023-01-17,23.62314359534948
2023-01-18,23.62314359534948
2023-01-19,23.46165955627408
2023-01-20,23.66269079223996
2023-01-21,24.093613340946614
2023-01-22,23.94430939350578
2023-01-23,24.085829626995046
2023-01-24,24.045601643230597
2023-01-25,24.30419438442488
2023-01-26,24.625058173637864
2023-01-27,24.678360181067696
2023-01-28,24.858828546092457
2023-01-29,24.767582113236102
2023-01-30,24.94026456796918
2023-01-31,25.145914817143645
2023-02-01,25.108361579526694
2023-02-02,25.621817823472757
2023-02-03,25.843214511007154
2023-02-04,26.08783353302146
2023-02-05,26.44597374270776
2023-02-06,26.238444826637313
2023-02-07,26.34539930764997
2023-02-08,26.340058491331863
2023-02-09,26.485189757705005
2023-02-10,26.534550798156303
2023-02-11,26.51158161117226
2023-02-12,26.46651956342873
2023-02-13,26.479156741331867
2023-02-14,26.44285004595487
2023-02-15,26.4999414179967
2023-02-16,26.723730207760045
2023-02-17,27.05925416056687
2023-02-18,27.06618922096863
2023-02-19,27.291851038662628
2023-02-20,27.415226252614197
2023-02-21,27.57371676472207
2023-02-22,27.48472528866263
2023-02-23,27.191972928178316
2023-02-24,27.432672035773255
2023-02-25,27.351262567281232
2023-02-26,27.596400161667585
2023-02-27,27.47684567611448
2023-02-28,27.305240819069894
2023-03-01,27.332334527655476
2023-03-02,27.106313890203634
2023-03-03,27.079897675013758
2023-03-04,27.026478845899835
2023-03-05,26.957808374793615
2023-03-06,26.896953122867362
2023-03-07,26.849340297330762
2023-03-08,26.824398897083103
2023-03-09,26.798207237204185
2023-03-10,26.925599930379743
2023-03-11,26.641189479086407
2023-03-12,26.717991905200883
2023-03-13,27.052094977160156
2023-03-14,27.245733671023665
2023-03-15,27.191231425426526
2023-03-16,27.4931058541552
2023-03-17,27.950842790588883
2023-03-18,28.272836618739678
2023-03-19,28.27757175935608
2023-03-20,28.266623071408915
2023-03-21,28.243998692350026
2023-03-22,27.967651819069896
2023-03-23,27.992643974270774
2023-03-24,27.756490430654928
2023-03-25,27.8158687981563
2023-03-26,27.800799175151347
2023-03-27,28.033092382085854
2023-03-28,28.17669887603192
2023-03-29,28.012386272839848
2023-03-30,27.989410491469453
2023-03-31,28.298413247110624
2023-04-01,28.411188570033023
2023-04-02,28.640268508255367
2023-04-03,28.551149221243808
2023-04-04,28.531204111172265
2023-04-05,28.38466284232251
2023-04-06,28.343570996147495
2023-04-07,28.2855304804623
2023-04-08,28.34966475495322
2023-04-09,28.466575472619702
2023-04-10,28.685441735690706
2023-04-11,28.77232877985691
2023-04-12,28.802304848651623
2023-04-13,28.430288317006053
2023-04-14,28.39539109878921
2023-04-15,28.42247625963126
2023-04-16,28.2691472943038
2023-04-17,28.29131748197578
2023-04-18,28.203038314804626
2023-04-19,27.993133110621905
2023-04-20,28.050978186571275
2023-04-21,27.629912959273526
2023-04-22,27.75791956301596
2023-04-23,27.893403210236652
2023-04-24,27.873805644881674
2023-04-25,27.974839497385798
2023-04-26,28.015018909741332
2023-04-27,27.98366007099615
2023-04-28,27.884004741194275
2023-04-29,27.800357100440287
2023-04-30,27.62098533007705
2023-05-01,27.532891763346175
2023-05-02,27.315890388277378
2023-05-03,27.32602903137039
2023-05-04,27.159551365162358
2023-05-05,26.89253855751238
2023-05-06,26.59349246367639
2023-05-07,26.63805657195927
2023-05-08,26.48298599078151
2023-05-09,26.32092916510732
2023-05-10,26.493645456934505
2023-05-11,26.3330311236929
2023-05-12,26.393024510731976
2023-05-13,26.362823085993398
2023-05-14,26.509043916895983
2023-05-15,26.412236125206388
2023-05-16,26.389706406851953
2023-05-17,26.55663046298844
2023-05-18,26.662351439323057
2023-05-19,26.244046664969726
2023-05-20,25.85887851733627
2023-05-21,26.00736269785361
2023-05-22,25.89078784672537
2023-05-23,25.988106367363784
2023-05-24,25.986400260869566
2023-05-25,25.871217811640065
2023-05-26,25.754916906851953
2023-05-27,25.704610906026417
2023-05-28,25.853914289763345
2023-05-29,25.857923643368185
2023-05-30,25.604826499724822
2023-05-31,25.5951927681618
2023-06-01,25.83068822867364
2023-06-02,25.892063160429277
2023-06-03,25.85417749931205
2023-06-04,25.79814282347276
2023-06-05,25.651047610346726
2023-06-06,25.680884149422127
2023-06-07,25.792274225096314
2023-06-08,25.759149421436433
2023-06-09,25.58524615244909
2023-06-10,25.647352508943314
2023-06-11,25.835114903824984
2023-06-12,25.790485423225096
2023-06-13,25.508123423637866
2023-06-14,25.457071275866817
2023-06-15,25.427033153962576
2023-06-16,25.531400800357734
2023-06-17,25.283746559988995
2023-06-18,25.30613717996698
2023-06-19,25.305778061089708
2023-06-20,25.469218491882224
2023-06-21,25.32812533998349
2023-06-22,25.083228389515686
2023-06-23,24.93488413758943
2023-06-24,24.751104271876724
2023-06-25,24.91179222289488
2023-06-26,25.156960913181063
2023-06-27,25.021847673362686
2023-06-28,25.033769242157405
2023-06-29,24.983247649146943
2023-06-30,25.011916332553657
2023-07-01,25.113588470005503
2023-07-02,24.93504168959824
2023-07-03,24.805846312603194
2023-07-04,24.874030132085856
