fecha,temperatura_promedio
2017-01-01,23.53502873563218
2017-01-02,23.582394362342637
2017-01-03,23.741591680350304
2017-01-04,23.956294198139027
2017-01-05,24.660886152162014
2017-01-06,24.44582594417077
2017-01-07,25.03725478927203
2017-01-08,25.088659824849476
2017-01-09,25.576681718664478
2017-01-10,25.255211001642035
2017-01-11,25.104018062397373
2017-01-12,25.06024685276409
2017-01-13,25.064943623426384
2017-01-14,25.12737602627258
2017-01-15,25.96191598248495
2017-01-16,25.895199507389165
2017-01-17,26.627946907498636
2017-01-18,26.62826354679803
2017-01-19,26.938650793650794
2017-01-20,26.678925287356325
2017-01-21,26.807453201970446
2017-01-22,26.341470443349756
2017-01-23,26.80171483305966
2017-01-24,26.79919348659004
2017-01-25,27.292987411056377
2017-01-26,26.777587575259986
2017-01-27,27.155261357416528
2017-01-28,27.355915982484944
2017-01-29,27.4911833607006
2017-01-30,27.487991789819375
2017-01-31,27.745153256704985
2017-02-01,27.677480842911873
2017-02-02,27.623762725779965
2017-02-03,27.708528461959496
2017-02-04,28.02596661193213
2017-02-05,28.0846048166393
2017-02-06,28.026925834701697
2017-02-07,28.13692446633826
2017-02-08,28.05398576902025
2017-02-09,27.961107827038862
2017-02-10,28.10997974822112
2017-02-11,27.879477285166935
2017-02-12,28.064882047071702
2017-02-13,28.157885878489328
2017-02-14,28.01771455938697
2017-02-15,27.96451943076081
2017-02-16,28.375102900930486
2017-02-17,28.5339017515052
2017-02-18,28.63331554460865
2017-02-19,28.61587712096333
2017-02-20,28.65891680350301
2017-02-21,28.383565407772302
2017-02-22,28.482165024630543
2017-02-23,28.209374110563765
2017-02-24,28.49101806239737
2017-02-25,28.76567186644773
2017-02-26,28.777523262178438
2017-02-27,28.688009578544058
2017-02-28,28.688009578544058
2017-03-01,29.317651067323485
2017-03-02,29.461226327312534
2017-03-03,29.187141215106735
2017-03-04,29.187141215106735
2017-03-05,28.827518336070064
2017-03-06,29.253128899835797
2017-03-07,28.814578817733988
2017-03-08,28.875831143951835
2017-03-09,28.85250848385331
2017-03-10,29.042436507936507
2017-03-11,29.067325944170772
2017-03-12,29.391471538040506
2017-03-13,29.266220032840724
2017-03-14,28.845038587848936
2017-03-15,28.550794198139023
2017-03-16,28.640642583470168
2017-03-17,29.283051997810617
2017-03-18,29.474301313628903
2017-03-19,29.42537575259989
2017-03-20,29.45552244116037
2017-03-21,29.25463163656267
2017-03-22,29.151877668308707
2017-03-23,28.80762753147236
2017-03-24,28.789298303229334
2017-03-25,28.62829146141215
2017-03-26,28.55614805692392
2017-03-27,28.96463711001642
2017-03-28,29.106481937602624
2017-03-29,28.5634039408867
2017-03-30,28.54061850027367
2017-03-31,28.615442255062945
2017-04-01,28.789819376026273
2017-04-02,28.567464148877942
2017-04-03,28.347665024630544
2017-04-04,28.32755199781062
2017-04-05,28.200812534209085
2017-04-06,27.921294471811713
2017-04-07,27.921294471811713
2017-04-08,27.921294471811713
2017-04-09,27.910763273125344
2017-04-10,27.67521702244116
2017-04-11,27.49334345922277
2017-04-12,27.172179529282978
2017-04-13,26.98587027914614
2017-04-14,27.148861521620137
2017-04-15,27.07515435139573
2017-04-16,26.94427011494253
2017-04-17,26.810451286261628
2017-04-18,26.938290093048714
2017-04-19,27.38299206349206
2017-04-20,26.798272851669402
2017-04-21,26.96062616310892
2017-04-22,26.74147427476738
2017-04-23,26.54517651888342
2017-04-24,26.502670224411602
2017-04-25,26.443000273672688
2017-04-26,26.323967159277508
2017-04-27,26.178921729611385
2017-04-28,25.967202244116038
2017-04-29,25.964147509578545
2017-04-30,26.045682539682538
2017-05-01,26.23525643130816
2017-05-02,26.213751778872467
2017-05-03,34.615324302134646
2017-05-04,34.629505199781065
2017-05-05,34.63762205801861
2017-05-06,34.679475643130814
2017-05-07,34.70274931581828
2017-05-08,34.73360098522168
2017-05-09,34.73551724137931
2017-05-10,25.402872468527637
2017-05-11,25.34726135741653
2017-05-12,25.249117405582922
2017-05-13,25.1230763546798
2017-05-14,25.144759715380403
2017-05-15,24.907314449917894
2017-05-16,24.872172961138478
2017-05-17,24.851125889436233
2017-05-18,24.895381773399016
2017-05-19,24.633562397372746
2017-05-20,24.512399014778328
2017-05-21,24.445254241926655
2017-05-22,24.401611658456485
2017-05-23,24.431645046524356
2017-05-24,24.315108100711548
2017-05-25,24.193517241379308
2017-05-26,23.88129775588396
2017-05-27,23.787754789272032
2017-05-28,23.70441762452107
2017-05-29,23.599434865900385
2017-05-30,23.58221373836891
2017-05-31,23.547438423645318
2017-06-01,23.42987575259989
2017-06-02,23.369501094690747
2017-06-03,23.32103585112206
2017-06-04,23.19553557744937
2017-06-05,23.133717843459227
2017-06-06,23.179550903119868
2017-06-07,23.14301806239737
2017-06-08,22.937261631089218
2017-06-09,22.6398973727422
2017-06-10,22.515394636015323
2017-06-11,22.465197318007665
2017-06-12,22.617467706622882
2017-06-13,23.16556513409962
2017-06-14,22.639972632731254
2017-06-15,22.60453612479475
2017-06-16,22.450042692939245
2017-06-17,22.18304515599343
2017-06-18,22.101985769020253
2017-06-19,22.140139846743295
2017-06-20,22.222541598248494
2017-06-21,22.248355774493707
2017-06-22,22.173838533114395
2017-06-23,22.183415708812262
2017-06-24,22.34470881226054
2017-06-25,22.357281335522714
2017-06-26,23.19553557744937
2017-06-27,22.491083743842363
2017-06-28,22.42174822112753
2017-06-29,22.126007936507932
2017-06-30,22.039287356321843
2017-07-01,21.926935413245758
2017-07-02,22.09952380952381
2017-07-03,22.21076683087028
2017-07-04,22.124320197044337
